iteration,idxS,idxE,S,E,P,overlap,overlap_score,overlap_density,real_overlap
90,1,25,000001,001001,001000,00-001,5,0.8333333333333334,True
91,1,26,000001,010010,010011,0-00--,3,0.5,False
92,1,27,000001,100101,100100,-00-01,4,0.6666666666666666,True
93,1,28,000001,001011,001010,00-0-1,4,0.6666666666666666,True
94,1,29,000001,010110,010111,0-0---,2,0.3333333333333333,False
95,1,30,000001,101100,101101,-0--0-,2,0.3333333333333333,False
96,1,31,000001,011001,011000,0--001,4,0.6666666666666666,True
97,1,32,000001,110011,110010,--00-1,3,0.5,True
98,1,33,000001,100110,100111,-00---,2,0.3333333333333333,False
99,1,34,000001,001101,001100,00--01,4,0.6666666666666666,True
100,1,35,000001,011010,011011,0--0--,2,0.3333333333333333,False
101,1,36,000001,110100,110101,--0-0-,2,0.3333333333333333,False
102,1,37,000001,101001,101000,-0-001,4,0.6666666666666666,True
103,1,38,000001,010011,010010,0-00-1,4,0.6666666666666666,True
104,1,39,000001,100111,100110,-00--1,3,0.5,True
105,1,40,000001,001111,001110,00---1,3,0.5,True
106,1,41,000001,011110,011111,0-----,1,0.16666666666666666,False
107,1,42,000001,111101,111100,----01,2,0.3333333333333333,True
108,1,43,000001,111010,111011,---0--,1,0.16666666666666666,False
109,1,44,000001,110101,110100,--0-01,3,0.5,True
110,1,45,000001,101010,101011,-0-0--,2,0.3333333333333333,False
111,1,46,000001,010101,010100,0-0-01,4,0.6666666666666666,True
112,1,47,000001,101011,101010,-0-0-1,3,0.5,True
113,1,48,000001,010111,010110,0-0--1,3,0.5,True
114,1,49,000001,101110,101111,-0----,1,0.16666666666666666,False
115,1,50,000001,011101,011100,0---01,3,0.5,True
116,1,51,000001,111011,111010,---0-1,2,0.3333333333333333,True
117,1,52,000001,110110,110111,--0---,1,0.16666666666666666,False
118,1,53,000001,101101,101100,-0--01,3,0.5,True
119,1,54,000001,011011,011010,0--0-1,3,0.5,True
120,1,55,000001,110111,110110,--0--1,2,0.3333333333333333,True
