idxS\idxE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
23,3,2,4,2,2,4,3,3,3,1,3,4,5,1,3,3,3,3,4,2,2,2,3,6,3,1,5,2,2,4,2,2,5,4,0,4,4,2,4,3,1,3,2,5,3,4,2,3,3,3,1,4,5,1,3,4,2,2,3,4,3,4,5,4
24,4,3,3,5,3,3,4,2,4,4,2,3,4,4,2,4,4,2,3,3,3,3,2,3,6,2,2,5,1,3,5,1,2,5,3,1,5,3,1,4,2,2,3,2,4,3,3,2,2,4,2,1,4,4,0,3,3,1,2,3,4,3,4,5
25,4,5,3,3,5,3,4,4,2,4,4,3,2,4,4,2,4,4,3,3,3,3,4,1,2,6,2,3,5,1,3,5,2,1,5,3,1,5,3,2,4,2,3,2,2,3,3,4,2,2,4,3,0,4,4,1,3,3,2,1,2,3,2,3
26,4,3,5,3,3,5,2,4,4,2,4,3,4,2,4,4,2,4,3,3,3,3,2,5,2,2,6,1,3,5,1,3,4,3,1,5,3,1,5,2,2,4,1,4,2,3,3,2,4,2,2,3,4,0,4,3,1,3,2,3,2,3,4,3
27,3,4,2,4,2,2,5,3,3,3,1,4,3,5,1,3,3,3,4,4,2,2,3,2,5,3,1,6,2,2,4,2,3,4,4,0,4,4,2,5,3,1,4,1,5,2,4,3,3,3,3,2,3,5,1,4,4,2,3,2,3,2,3,4
28,3,4,4,2,4,2,3,5,3,3,3,2,3,3,5,1,3,3,4,4,4,2,3,2,1,5,3,2,6,2,2,4,3,2,4,4,0,4,4,3,5,3,2,3,1,4,2,5,3,3,3,4,1,3,5,2,4,4,3,2,1,2,1,2
29,3,2,4,4,2,4,1,3,5,3,3,2,3,3,3,5,1,3,2,4,4,4,1,4,3,1,5,2,2,6,2,2,3,4,2,4,4,0,4,3,3,5,2,3,3,2,4,1,5,3,3,2,5,1,3,4,2,4,3,4,3,2,3,2
30,3,2,2,4,4,2,3,1,3,5,3,2,3,3,3,3,5,1,2,2,4,4,3,2,5,3,1,4,2,2,6,2,1,4,4,2,4,4,0,3,3,3,4,3,3,4,2,3,1,5,3,2,3,5,1,2,4,2,3,4,5,4,3,4
31,3,4,2,2,4,4,3,3,1,3,5,4,1,3,3,3,3,5,2,2,2,4,5,2,1,5,3,2,4,2,2,6,3,0,4,4,2,4,4,1,3,3,4,3,3,2,4,3,3,1,5,4,1,3,5,2,2,4,3,2,3,4,3,2
32,2,3,3,1,1,3,4,4,2,0,2,5,4,2,2,2,2,4,5,3,1,1,4,5,2,2,4,3,3,3,1,3,6,3,1,3,3,3,5,4,2,2,3,4,4,3,3,4,4,2,2,5,4,2,4,5,3,3,4,3,2,3,4,3
33,3,2,4,4,2,2,3,3,5,3,1,2,5,3,3,3,3,1,4,4,4,2,1,4,5,1,3,4,2,4,4,0,3,6,2,2,4,2,2,5,3,3,2,3,3,4,2,3,3,5,1,2,5,3,1,4,4,2,3,4,3,2,3,4
34,3,4,2,4,4,2,3,3,3,5,3,2,1,5,3,3,3,3,2,4,4,4,3,0,3,5,1,4,4,2,4,4,1,2,6,2,2,4,2,3,5,3,4,1,3,2,4,3,3,3,5,2,1,5,3,2,4,4,3,2,3,2,1,2
35,3,2,4,2,4,4,1,3,3,3,5,2,3,1,5,3,3,3,2,2,4,4,3,4,1,3,5,0,4,4,2,4,3,2,2,6,2,2,4,1,3,5,2,5,1,4,2,3,3,3,3,4,3,1,5,2,2,4,3,4,3,4,3,2
36,3,2,2,4,2,4,3,1,3,3,3,4,3,3,1,5,3,3,2,2,2,4,3,4,5,1,3,4,0,4,4,2,3,4,2,2,6,2,2,3,1,3,4,3,5,2,4,1,3,3,3,2,5,3,1,4,2,2,3,4,5,4,5,4
37,3,4,2,2,4,2,5,3,1,3,3,4,3,3,3,1,5,3,4,2,2,2,5,2,3,5,1,4,4,0,4,4,3,2,4,2,2,6,2,3,3,1,4,3,3,4,2,5,1,3,3,4,1,5,3,2,4,2,3,2,3,4,3,4
38,3,4,4,2,2,4,3,5,3,1,3,4,3,3,3,3,1,5,4,4,2,2,3,4,1,3,5,2,4,4,0,4,5,2,2,4,2,2,6,3,3,3,2,3,3,2,4,3,5,1,3,4,3,1,5,4,2,4,3,2,1,2,3,2
39,2,3,3,3,1,1,4,4,4,2,0,3,4,4,2,2,2,2,5,5,3,1,2,3,4,2,2,5,3,3,3,1,4,5,3,1,3,3,3,6,4,2,3,2,4,3,3,4,4,4,2,3,4,4,2,5,5,3,4,3,2,1,2,3
40,2,3,3,3,3,1,2,4,4,4,2,1,2,4,4,2,2,2,3,5,5,3,2,1,2,4,2,3,5,3,3,3,2,3,5,3,1,3,3,4,6,4,3,2,2,3,3,4,4,4,4,3,2,4,4,3,5,5,4,3,2,1,0,1
41,2,1,3,3,3,3,0,2,4,4,4,1,2,2,4,4,2,2,1,3,5,5,2,3,2,2,4,1,3,5,3,3,2,3,3,5,3,1,3,2,4,6,3,4,2,3,3,2,4,4,4,3,4,2,4,3,3,5,4,5,4,3,2,1
42,1,2,0,2,2,2,3,1,1,3,3,4,1,3,1,3,3,3,2,2,2,4,5,2,3,3,1,4,2,2,4,4,3,2,4,2,4,4,2,3,3,3,6,3,5,2,4,3,3,3,5,4,3,5,3,4,4,4,5,4,5,4,3,2
43,2,1,3,1,3,3,2,2,2,2,4,3,4,0,4,2,4,2,3,1,3,3,4,5,2,2,4,1,3,3,3,3,4,3,1,5,3,3,3,2,2,4,3,6,2,5,1,4,2,4,2,5,4,2,4,3,3,3,4,5,4,5,4,3
44,2,3,1,3,1,3,4,2,2,2,2,5,2,4,0,4,2,4,3,3,1,3,4,3,4,2,2,5,1,3,3,3,4,3,3,1,5,3,3,4,2,2,5,2,6,1,5,2,4,2,4,3,4,4,2,5,3,3,4,3,4,3,4,3
45,3,2,4,2,4,2,3,3,3,3,3,2,5,1,5,1,5,1,4,2,4,2,3,4,3,3,3,2,4,2,4,2,3,4,2,4,2,4,2,3,3,3,2,5,1,6,0,5,1,5,1,4,3,3,3,2,4,2,3,4,3,4,3,4
46,3,4,2,4,2,4,3,3,3,3,3,4,1,5,1,5,1,5,2,4,2,4,3,2,3,3,3,4,2,4,2,4,3,2,4,2,4,2,4,3,3,3,4,1,5,0,6,1,5,1,5,2,3,3,3,4,2,4,3,2,3,2,3,2
47,2,3,3,1,3,1,4,4,2,2,2,3,4,2,4,0,4,2,5,3,3,1,4,3,2,4,2,3,5,1,3,3,4,3,3,3,1,5,3,4,4,2,3,4,2,5,1,6,2,4,2,5,2,4,4,3,5,3,4,3,2,3,2,3
48,2,3,3,3,1,3,2,4,4,2,2,3,2,4,2,4,0,4,3,5,3,3,2,3,2,2,4,3,3,5,1,3,4,3,3,3,3,1,5,4,4,4,3,2,4,1,5,2,6,2,4,3,4,2,4,5,3,5,4,3,2,1,2,1
49,2,1,3,3,3,1,2,2,4,4,2,1,4,2,4,2,4,0,3,3,5,3,2,3,4,2,2,3,3,3,5,1,2,5,3,3,3,3,1,4,4,4,3,4,2,5,1,4,2,6,2,3,4,4,2,3,5,3,4,5,4,3,2,3
50,2,3,1,3,3,3,2,2,2,4,4,3,0,4,2,4,2,4,1,3,3,5,4,1,2,4,2,3,3,3,3,5,2,1,5,3,3,3,3,2,4,4,5,2,4,1,5,2,4,2,6,3,2,4,4,3,3,5,4,3,4,3,2,1
51,1,2,2,0,2,2,3,3,1,1,3,4,3,1,3,1,3,3,4,2,2,2,5,4,1,3,3,2,4,2,2,4,5,2,2,4,2,4,4,3,3,3,4,5,3,4,2,5,3,3,3,6,3,3,5,4,4,4,5,4,3,4,3,2
52,2,1,3,3,1,3,2,2,4,2,2,3,4,2,2,4,2,2,3,3,3,3,2,5,4,0,4,3,1,5,3,1,4,5,1,3,5,1,3,4,2,4,3,4,4,3,3,2,4,4,2,3,6,2,2,5,3,3,4,5,4,3,4,3
53,2,3,1,3,3,1,4,2,2,4,2,3,2,4,2,2,4,2,3,3,3,3,4,1,4,4,0,5,3,1,5,3,2,3,5,1,3,5,1,4,4,2,5,2,4,3,3,4,2,4,4,3,2,6,2,3,5,3,4,3,4,3,2,3
